Work Type,Summary,Work item Id,Parent Link,Parent,Description,StepRef,Story Points,Reporter,Assignee,Priority,Labels,RoleResponsible,VaultRef,CoreDocRef,AppendixRef,CDL_ID,EvidenceStatus,Owner
Story,S-0.3.1 Create Jira Import Schema,S031,HBRMVP-3,,"Generate initial CSV and confirm parent relationships.",Step 0.3,8,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Scrum Master,🏦 VaultDoc – Work Item Seeding Protocol.docx,🌐 CoreDoc §0.3,📙 Appendix 0.3,CDL-2025-OPS-003,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.3.1A Build Epics-Stories CSV,T031A,,S031,"Draft Wave 1 import file.",Step 0.3,3,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,PO,🏦 VaultDoc – Work Item Seeding Protocol.docx,🌐 CoreDoc §0.3,📙 Appendix 0.3,CDL-2025-OPS-003,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.3.1B Configure Evidence Fields,T031B,,S031,"Add VaultRef and CoreDocRef custom fields.",Step 0.3,5,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Dev,🏦 VaultDoc – Work Item Seeding Protocol.docx,🌐 CoreDoc §0.3,📙 Appendix 0.3,CDL-2025-OPS-003,✅ Validated,perry@wolfelegacies.com
Story,S-0.4.1 Translate Governance to Workflow,S041,HBRMVP-4,,"Define workflow states and guards reflecting DoD (Evidence Attached + Human Review).",Step 0.4,8,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Scrum Master,🏦 VaultDoc – Workflow Governance.docx,🌐 CoreDoc §0.4,📙 Appendix 0.4,CDL-2025-OPS-004,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.4.1A Define Workflow States & Transitions,T041A,,S041,"Design Jira state model.",Step 0.4,3,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Dev,🏦 VaultDoc – Workflow Governance.docx,🌐 CoreDoc §0.4,📙 Appendix 0.4,CDL-2025-OPS-004,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.4.1B Test Evidence-First Guards,T041B,,S041,"Validate workflow DoD in sandbox.",Step 0.4,5,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,QA,🏦 VaultDoc – Workflow Governance.docx,🌐 CoreDoc §0.4,📙 Appendix 0.4,CDL-2025-OPS-004,✅ Validated,perry@wolfelegacies.com
Story,S-0.5.1 Establish Sprint Cadence & KPI Baselines,S051,HBRMVP-5,,"Publish ceremony schedule and PvA Tracker.",Step 0.5,5,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,PO,🏦 VaultDoc – Sprint Cadence & KPI Baseline.docx,🌐 CoreDoc §0.5,📙 Appendix 0.5,CDL-2025-OPS-005,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.5.1A Document Sprint Schedule,T051A,,S051,"Define recurring meeting cadence for PO Review / Retro.",Step 0.5,2,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Scrum Master,🏦 VaultDoc – Sprint Cadence & KPI Baseline.docx,🌐 CoreDoc §0.5,📙 Appendix 0.5,CDL-2025-OPS-005,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.5.1B Draft PvA Tracker,T051B,,S051,"Create baseline KPI & value tracker spreadsheet.",Step 0.5,3,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Advisor,🏦 VaultDoc – Sprint Cadence & KPI Baseline.docx,🌐 CoreDoc §0.5,📙 Appendix 0.5,CDL-2025-OPS-005,✅ Validated,perry@wolfelegacies.com
Story,S-0.6.1 Build Pointer Schema & Checklist,S061,HBRMVP-6,,"Produce pointer-index template and dry-run VaultOps Checklist.",Step 0.6,8,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,AI Evidence Steward,🏦 VaultDoc – Pointer Schema & Checklist.docx,🌐 CoreDoc §0.6,📙 Appendix 0.6,CDL-2025-OPS-006,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.6.1A Create Pointer Index Template,T061A,,S061,"Design pointer format and test link structure.",Step 0.6,3,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Dev,🏦 VaultDoc – Pointer Schema & Checklist.docx,🌐 CoreDoc §0.6,📙 Appendix 0.6,CDL-2025-OPS-006,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.6.1B Run VaultOps Checklist Dry Run,T061B,,S061,"Perform first VaultOps Checklist validation.",Step 0.6,5,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,QA,🏦 VaultDoc – Pointer Schema & Checklist.docx,🌐 CoreDoc §0.6,📙 Appendix 0.6,CDL-2025-OPS-006,✅ Validated,perry@wolfelegacies.com
Story,S-0.7.1 Initialize CDL Index & Validation Queue,S071,HBRMVP-7,,"Populate CDL entries 0001–0008 and activate validation queue.",Step 0.7,8,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,AI Evidence Steward,🏦 VaultDoc – CDL Index Activation.docx,🌐 CoreDoc §0.7,📙 Appendix 0.7,CDL-2025-OPS-007,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.7.1A Create CDL Index Sheet,T071A,,S071,"Generate CDL Index spreadsheet and log initial IDs.",Step 0.7,3,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Database,🏦 VaultDoc – CDL Index Activation.docx,🌐 CoreDoc §0.7,📙 Appendix 0.7,CDL-2025-OPS-007,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.7.1B Configure Validation Queue,T071B,,S071,"Set up validation queue workflow for PATRIOT Sweep.",Step 0.7,5,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Dev,🏦 VaultDoc – CDL Index Activation.docx,🌐 CoreDoc §0.7,📙 Appendix 0.7,CDL-2025-OPS-007,✅ Validated,perry@wolfelegacies.com
Story,S-0.8.1 Conduct Tooling & Access Audit,S081,HBRMVP-8,,"Confirm tool access and sign Go/No-Go record.",Step 0.8,5,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Advisor,🏦 VaultDoc – Tooling & Access Audit.docx,🌐 CoreDoc §0.8,📙 Appendix 0.8,CDL-2025-OPS-008,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.8.1A Complete Tooling Matrix,T081A,,S081,"Validate access permissions and API integrations.",Step 0.8,3,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,Database,🏦 VaultDoc – Tooling & Access Audit.docx,🌐 CoreDoc §0.8,📙 Appendix 0.8,CDL-2025-OPS-008,✅ Validated,perry@wolfelegacies.com
Sub-task,T-0.8.1B Sign Readiness Gate Record,T081B,,S081,"Finalize Go/No-Go document and upload to Vault.",Step 0.8,2,perry@wolfelegacies.com,perry@wolfelegacies.com,Medium,FoundationsActivation,PO,🏦 VaultDoc – Tooling & Access Audit.docx,🌐 CoreDoc §0.8,📙 Appendix 0.8,CDL-2025-OPS-008,✅ Validated,perry@wolfelegacies.com
